

rapper                   top200       rest      total
-----------------------------------------------------
Drake                    201524      91433     292957
Eminem                    31294      17130      48424
JCole                    104683      52241     156924
JuiceWRLD                 41581      19471      61052
KendrickLamar            131783      71553     203336
LilUziVert                93532      43460     136992
LilWayne                 264488     143022     407510
PostMalone                41285      16908      58193
SnoopDogg                176559      92868     269427
TravisScott               66580      34964     101544



